Country Name,"Population, total [SP.POP.TOTL]","Population, male (% of total population) [SP.POP.TOTL.MA.ZS]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]",Population growth (annual %) [SP.POP.GROW],Population density (people per sq. km of land area) [EN.POP.DNST],Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS],Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS],Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS],Land area (sq. km) [AG.LND.TOTL.K2],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Services, value added (% of GDP) [NV.SRV.TOTL.ZS]",Gross value added at basic prices (GVA) (current US$) [NY.GDP.FCST.CD],"Employers, total (% of total employment) (modeled ILO estimate) [SL.EMP.MPYR.ZS]",Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS],Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS],Employment in services (% of total employment) (modeled ILO estimate) [SL.SRV.EMPL.ZS],"Employment to population ratio, 15+, total (%) (modeled ILO estimate) [SL.EMP.TOTL.SP.ZS]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Labor force, total [SL.TLF.TOTL.IN]","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.ZS]",Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Inflation, GDP deflator: linked series (annual %) [NY.GDP.DEFL.KD.ZG.AD]",GNI (current US$) [NY.GNP.MKTP.CD],"Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",Consumer price index (2010 = 100) [FP.CPI.TOTL],Export value index (2000 = 100) [TX.VAL.MRCH.XD.WD],Import value index (2000 = 100) [TM.VAL.MRCH.XD.WD],Region,Trade (% of GDP) [NE.TRD.GNFS.ZS]
Bermuda,63913,,,-0.00938732086552398,1183.57407407407,,,,54,117098.446325474,0.219090759319107,6.38516548320422,89.1670529293184,7167634000,,,,,,,,,0,,3.12171387033864,3.12171387033864,7587978000,4389826.5,,31.37254902,160.2225313,NorthernAmerica,75.8610539418633
Bhutan,763094,53.0776024972022,46.9223975027978,1.14637925209774,20.00770844258,25.3401948913106,68.5668307360056,6.09297437268377,38140,3316.16702210577,15.8160219288359,36.131743608331,43.3552360191017,2411687396.95798,0.100000001490116,55.7799987792969,10.1499996185303,34.060001373291,65.74,2.27,383196,70.04,2.19549125756858,2.72582104307304,0.973225144012162,0.973225144012162,2300999285.71733,13011377.2857268,167.182458685409,576.6757282,560.1718037,SouthernAsia,84.3588359248042
Bolivia (Plurinational State of),11513102,50.2002935438251,49.7997064561749,1.39913335536684,10.6278057786393,30.6252616584586,62.0361066958508,7.33863164569056,1083300,3552.06814383653,12.2217575824891,25.2102745511952,50.7199151225106,34208221230.1013,4.94999980926514,30.5400009155273,19.4099998474121,50.0499992370605,69.61,3.46,5758760,74.21,3.88790500859459,1.83954504969032,-0.693003271755344,-0.693003271755344,40056391416.7353,-216636843.1305,148.317518475358,712.2183895,534.7244509,SouthAmerica,56.3973067281247
Bosnia and Herzegovina,3300998,48.9790966247177,51.0209033752823,-0.692266996375143,64.4726171875,14.6937594668282,68.1050893668585,17.2011511663132,51200,6120.11262579357,5.60309353941517,23.9642549619002,55.7305876355886,16766466716.2727,5.82000017166138,17.9599990844727,31.7099990844727,50.3300018310547,40.01,15.69,1336172,57.74,0.989039912881649,0.562782154061303,2.63114034262723,2.63114034262723,20190230667.9641,390210690.893359,104.896137350469,615.3447219,350.8280317,SouthernEurope,95.6711532877951
Botswana,2303703,48.3619633260017,51.6380366739983,2.1781688165261,4.06490392250278,33.7649873225515,61.8691173361775,4.36589534127101,566730,7970.79696800641,1.94698290352683,28.2073331180043,60.7238394864526,16687361503.9188,2.28999996185303,19.8999996185303,17.6200008392334,62.4900016784668,58.41,17.21,1076493,73.05,0.657050778909288,2.7728644286333,0.702609371626878,0.702609371626878,16968862019.9146,260928016.920997,149.753698758867,195.6183472,315.4071359,SouthernAfrica,75.6956373355695
Brazil,211049519,49.1510999368826,50.8489000631174,0.751550842096973,25.2507757706858,21.0091937329952,69.7391982309441,9.25160803606065,8358140,8897.48777044292,4.40176323545758,18.4088426878827,63.1855656061928,1614845150842.94,4.75,9.07999992370605,19.9899997711182,70.9400024414063,56.76,11.93,107461083,70.93,3.46523055505897,3.73297621216894,4.28050511900344,4.28050511900344,1827512816466.85,69174411753.43,167.397860280061,408.9041735,314.3930072,SouthAmerica,28.4559373152372
Brunei Darussalam,433296,51.923396477235,48.076603522765,1.00574227362596,82.2193548387097,22.6165226121375,72.1746656357824,5.20881175208004,5270,31085.9618860822,0.98605510232603,62.5153213988607,38.1775985851735,13695571196.8543,2.71000003814697,1.95000004768372,20.7600002288818,77.2799987792969,60.24,6.92,217006,68.53,22.2125929830096,-0.390522069165492,-3.33576804035044,-3.33576804035044,13830513707.6675,373256767.246304,99.0268165721066,180.3598186,460.9461608,South-easternAsia,108.509658352264
Bulgaria,6975761,48.5713881639407,51.4286118360593,-0.703905641117455,64.2571941783346,14.6853789199869,64.0616538090281,21.252967270985,108560,9828.14851478139,3.23649259323424,21.6187831488513,61.4613051019748,59177625071.5512,3.54999995231628,6.61999988555908,30.0200004577637,63.3600006103516,54.35,4.23,3377388,73.37,0.396919025831329,3.10372944796774,5.25021904053116,5.25021904053116,67445642243.8466,2075750000,114.418393160353,686.4236228,568.126485,EasternEurope,125.172532869676
Burkina Faso,20321383,49.9364339523545,50.0635660476455,2.8445964977375,74.2740606725146,44.6778215532431,52.9148909094649,2.40728753729201,273600,786.895437677452,20.1736647765288,25.5796638070783,44.5284566827977,14436782941.4365,0.680000007152557,26.2099990844727,25.1599998474121,48.6399993896484,63.39,4.62,7472712,67.79,4.1867093331433,-3.23338933983321,-0.632603927223556,-0.632603927223556,15326472487.9717,162970140.263612,108.359022934413,1622.696378,855.9240583,WesternAfrica,56.7252602906424
Burundi,11530577,49.5984546133294,50.4015453866706,3.1289321480628,449.010007788162,45.4006476690678,52.2872570156922,2.31209531524,25680,261.24529116164,28.8975583833274,10.9561343078757,47.9445946931757,2644755664.98669,1.23000001907349,86.2099990844727,3.34999990463257,10.4499998092651,78.09,1.42,4987390,80,9.21270911419036,-0.686772170797229,0.822247025415351,0.822247025415351,3019513461.38506,1044960.5011,182.112339994344,359.6963135,600.0071506,EasternAfrica,41.857360239639
