,Time,Country Name,Region,"Population, total",Population Structure,Population growth,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Labor force, total",Life expectancy index,Life expectancy at birth (Times),HDI,Highest GDP contribution industry rate,Industry has the highest employment contribution rate,"Agriculture, forestry, and fishing, value added (annual % growth)","Industry (including construction), value added (annual % growth)","Services, value added (annual % growth)","Manufacturing, value added (annual % growth)",Gross value added at basic prices (GVA) (current US$),Total natural resources rents (% of GDP),"Inflation, GDP deflator (annual %)",GNI growth (annual %),Adjusted savings (% of GNI),"Stocks traded, total value (% of GDP)",Broad money (% of GDP),Consumer price index (2010 = 100),Net ODA received (% of GNI),"Foreign direct investment, net inflows (% of GDP)","Official exchange rate (LCU per US$, period average)","Total reserves (includes gold, current US$)","Central government debt, total (% of GDP)",Trade (% of GDP),Lending interest rate (%),Deposit interest rate (%),Import value index (2000 = 100),Type has the highest manufacturing contribution rate,Type has the highest service import contribution rate,Type has the highest commercial service import contribution rate,Type has the highest merchandise import contribution rate,Export value index (2000 = 100),Type has the highest service export contribution rate,Type has the highest merchandise export contribution rate,Type has the highest commercial service export contribution rate,Education Index,Documents,H index,Expected Times of schooling (Times),Mean Times of schooling (Times),GDP growth (annual %)
35,2000,Canada,North America,30685730.0,Old,0-1,6.83,16190365.0,0.91,79.1,Very High,Services,Services,1.97279918587701,6.34000477730842,4.97685242469971,9.06141507426115,689359639081.543,3.92709208611339,4.59383166243302,5.71635678350562,gross savings,84.3863833692113,71.1105063635616,81.8903835145964,,9.17102428671511,1.485394095,32427268296.4522,,82.7653578503214,7.27083333333333,3.48333333333333,100.0,Other manufacturing,"Communications, computer, etc","Communications, computer and other service",Manufactures,100.0,"Communications, computer, etc",Manufactures,"Communications, computer and other service",0.805,45231.0,1299.0,15.8,11.0,4.91776274356224
36,2000,Cayman Islands,Latin America & Caribbean,42305.0,,+3,,,,,,,,,,,,,,,,,,,,,,0.83333,,,,,,100.0,,,,,100.0,,,,,3.0,36.0,,,
37,2000,Central African Republic,Sub-Saharan Africa,3640421.0,Young,2-3,4.47,1497549.0,0.372,44.2,Low,,Agriculture,,,,,868838666.820792,11.2051766936457,8.5066010783456,,consumption of fixed capital,,17.0347976402063,72.5378636652516,8.41989830246128,0.0972197508822972,710.207977031367,136311955.642757,,45.6597819937269,,5.0,100.0,,,,Manufactures,100.0,,Manufactures,,0.243,14.0,59.0,5.3,2.9,-2.48943244028874
38,2000,Chad,Sub-Saharan Africa,8355654.0,Young,+3,1.05,3092951.0,0.426,47.7,Low,Services,Agriculture,,,,,1335705293.80125,10.5998239655036,5.2898048599024,-2.22972229103355,particulate emission damage,,12.3490994800595,72.1689327009226,9.57916923725295,8.29469669351789,710.207977031367,113752750.287429,,51.5711720135652,,5.0,100.0,,,,,100.0,,,,0.18,6.0,47.0,4.9,1.4,-0.879681025444839
39,2000,Channel Islands,Europe & Central Asia,148439.0,Old,0-1,5.88,72870.0,,,,,Services,,,,,,0.0,3.89231759237092,,mineral depletion,0.535117810150376,,,,,,,,,,,,,,,,,,,,,,,,,5.82664146877514
40,2000,Chile,Latin America & Caribbean,15342350.0,Old,1-2,10.49,6283604.0,0.867,76.4,High,Services,Services,7.09855094846397,4.28040345089482,4.76457406529404,6.20462987192396,70772337162.8761,4.87091277163663,4.27183918795507,4.70673550328986,gross savings,7.40250577627238,51.8395192733259,73.6733347667168,0.067274889743961,6.24191816512269,539.5875,15055115211.0232,,59.3158221071443,14.8433912347788,9.20098734169417,100.0,,Transport services,Transport services,Manufactures,100.0,Transport services,Ores and metals,Transport services,0.661,2290.0,441.0,13.3,8.8,5.32693841912359
41,2000,China,East Asia & Pacific,1262645000.0,Old,0-1,3.3,734745332.0,0.791,71.4,Medium,Industry (including construction),Agriculture,2.32851803699535,9.4738414342805,9.77635206417638,,,2.59491438483696,2.06279261368114,8.57566484026624,gross savings,62.1277950095549,135.580416035304,80.9700222903012,0.146155871075283,3.4750822457556,8.27850416666667,171763098225.843,,39.4105387880359,5.85,2.25,100.0,Other manufacturing,Travel services,Travel services,Manufactures,100.0,"Communications, computer, etc",Manufactures,"Communications, computer and other service",0.481,51575.0,1010.0,9.6,6.5,8.49009340575191
42,2000,Colombia,Latin America & Caribbean,39629965.0,Old,1-2,20.52,18122165.0,0.815,72.9,Medium,Services,Services,3.84937488854631,3.17588720424209,1.43150443686584,11.6517655497299,92700602904.3082,5.75812915883346,33.6753705077668,2.36246732762426,gross savings,1.18033877174137,25.8200005700064,58.2158441469197,0.207070702742396,2.43922655930173,2087.90384166667,9005870484.66315,17.7090216802298,32.6670854693067,18.7866666666667,12.1466666666667,100.0,Other manufacturing,Transport services,Transport services,Manufactures,100.0,Travel services,Fuel,Travel services,0.534,891.0,333.0,11.4,6.5,2.92486148314592
43,2000,Comoros,Sub-Saharan Africa,542358.0,Young,2-3,4.59,127464.0,0.607,59.5,Low,Services,Agriculture,10.8492114353596,10.8512730849088,10.8481131370808,,,1.40300517568324,-4.46002451335903,10.8971902136197,consumption of fixed capital,,11.4497286604112,69.1444788256996,5.49393377420773,0.0266665803324007,532.655982773525,43370718.713776,,35.7574785467961,12.0,3.0,100.0,,,,Manufactures,100.0,,Food,,0.328,4.0,21.0,8.5,2.8,10.847878616072
44,2000,Democratic Republic Congo,Sub-Saharan Africa,47105830.0,Young,2-3,2.91,18365477.0,0.462,50.0,Low,Services,Agriculture,-11.6998199279778,10.6119335849632,-16.857616747165,-10.9000007232323,18876452102.8986,7.54660187239708,2630.1226744224,0.0875823389778958,consumption of fixed capital,,3.42308139669861,6.79873847528014,0.954235409792471,0.493452281553792,21.8183333273501,82500000.0,,27.0144029227569,,,100.0,"Food, beverages and tobacco",,,,100.0,,,,0.305,12.0,75.0,7.0,3.3,-6.91092731652101
45,2000,Congo,Sub-Saharan Africa,3127420.0,Young,2-3,20.0,1233186.0,0.494,52.1,Low,Industry (including construction),Agriculture,4.3632075669322,2.95133438126547,15.7588503317388,13.2380952561828,,57.996383717846,47.0400830761822,-3.59098573575245,natural resources depletion,,14.5814612868048,75.8358892991145,1.40954001326814,-3.03284142212355,710.207977031367,225059391.973169,,123.909884405671,,5.0,100.0,"Food, beverages and tobacco","Communications, computer, etc","Communications, computer and other service",,100.0,"Communications, computer, etc",,"Communications, computer and other service",0.454,55.0,122.0,9.7,5.5,7.5759803952642
46,2000,Costa Rica,Latin America & Caribbean,3962369.0,Old,1-2,5.08,1623241.0,0.884,77.5,High,Services,Services,-1.31940234264795,3.81177535611157,4.13139163514671,3.19187620672841,13598924535.5138,1.02215166467959,9.38971354583144,2.96051311614929,gross savings,,18.4547634322026,37.3575448929626,0.177725935924548,4.81846449792136,308.186666666667,1318296304.08344,38.5018488515959,86.5249234943707,24.8891666666667,13.3819475,100.0,"Food, beverages and tobacco",Travel services,Travel services,Manufactures,100.0,Travel services,Manufactures,Travel services,0.593,233.0,201.0,11.7,8.0,3.86871808818643
